stop_date,start_date,duration_time,success_time,success_rate,no_of_stacks,result
2018-05-08 16:05:44.309069,2018-05-08 15:17:19.002411,2704,2,0.1,20,0
2018-05-08 06:37:23.666536,2018-05-08 05:31:41.757984,3614,0,0,20,0
2018-05-05 23:39:36.965759,2018-05-05 22:36:20.963806,3627,0,0,20,0
2018-05-02 15:58:11.362102,2018-05-02 14:52:34.742049,3732,2,0.1,20,0
2018-05-02 08:48:36.313956,2018-05-02 07:40:10.294118,3614,0,0,20,0
2018-05-01 10:03:29.187064,2018-05-01 08:02:15.540852,7116,0,0,20,0
2018-05-01 05:46:54.338146,2018-05-01 05:41:56.622742,129,0,0,20,0
2018-04-30 09:24:03.753637,2018-04-30 08:20:54.579961,3628,0,0,20,0
2018-04-29 10:15:14.662074,2018-04-29 08:35:45.913340,4135,0,0,20,0
2018-04-29 06:12:40.730864,2018-04-29 06:05:28.190314,164,0,0,20,0
2018-04-28 12:30:30.338300,2018-04-28 12:10:31.257092,994,0,0,20,0
2018-04-27 09:55:32.045891,2018-04-27 09:26:59.249909,725,0,0,20,0
2018-04-27 04:36:35.682590,2018-04-27 04:27:17.295418,112,0,0,20,0
2018-04-26 06:09:34.896684,2018-04-26 04:47:53.447769,3849,0,0,20,0
2018-04-25 05:02:38.024886,2018-04-25 04:49:54.708383,136,0,0,20,0
2018-04-24 16:02:41.387829,2018-04-24 14:56:45.455292,3740,15,0.7,20,0
2018-04-24 15:36:35.157357,2018-04-24 14:32:19.099304,3580,0,0,20,0
2018-04-24 08:56:31.395128,2018-04-24 07:19:30.572316,3196,2,0.1,20,0
2018-04-23 15:59:11.937382,2018-04-23 14:52:02.047053,3613,0,0,20,0
2018-04-23 08:17:46.198307,2018-04-23 07:27:25.720133,2411,0,0,20,0
2018-04-22 07:05:52.427959,2018-04-22 06:27:56.102665,2025,2,0.1,20,0
2018-04-22 01:17:51.907158,2018-04-21 23:19:14.134456,6878,0,0,20,0
2018-04-20 17:46:52.745514,2018-04-20 17:31:55.368856,726,0,0,20,0
2018-04-20 07:29:47.371540,2018-04-20 06:36:26.219297,2556,5,0.25,20,0
2018-04-19 05:37:12.462883,2018-04-19 05:29:57.317881,119,0,0,20,0
2018-04-19 01:28:06.237335,2018-04-19 01:13:18.343359,163,0,0,20,0
2018-04-18 15:28:35.852686,2018-04-18 13:28:22.289042,6935,10,0.5,20,0
2018-04-18 05:33:53.656028,2018-04-18 05:25:24.457785,125,0,0,20,0
2018-04-17 08:00:58.315808,2018-04-17 06:54:06.614524,3623,0,0,20,0
2018-04-16 22:06:40.295660,2018-04-16 22:00:30.123648,105,0,0,20,0
2018-04-16 20:24:47.194979,2018-04-16 19:20:25.340995,3613,0,0,20,0
2018-04-16 05:52:09.691777,2018-04-16 04:49:31.064156,2292,3,0.15,20,0
2018-04-16 05:13:53.127293,2018-04-16 03:46:09.128326,4151,10,0.5,20,0
2018-04-15 07:20:14.033343,2018-04-15 06:14:41.278276,3625,0,0,20,0
2018-04-14 13:46:26.196859,2018-04-14 12:24:31.263727,4651,1,0.05,20,0
2018-04-14 07:03:51.603498,2018-04-14 05:23:05.089848,731,0,0,20,0
2018-04-14 05:31:49.363937,2018-04-14 04:26:12.244955,2699,3,0.15,20,0
2018-04-12 16:02:30.147936,2018-04-12 14:40:26.833974,4134,2,0.1,20,0
2018-04-12 06:27:38.018796,2018-04-12 05:33:04.524991,2595,3,0.15,20,0
2018-04-12 02:16:00.766447,2018-04-12 01:10:20.206996,3614,0,0,20,0
2018-04-11 14:39:57.895951,2018-04-11 12:35:13.659817,7205,4,0.2,20,0
2018-04-11 06:34:34.708720,2018-04-11 06:24:14.746502,133,0,0,20,0
2018-04-08 05:07:39.568941,2018-04-08 04:13:26.126219,2549,4,0.2,20,0
2018-04-07 19:16:49.586991,2018-04-07 17:47:05.938729,5183,18,0.9,20,0
2018-04-07 10:05:52.747344,2018-04-07 09:16:23.248657,2761,6,0.3,20,0
2018-04-06 05:47:50.000846,2018-04-06 04:40:05.357149,2660,7,0.35,20,0
2018-04-05 17:21:17.132696,2018-04-05 16:17:21.195204,3611,18,0.9,20,0
2018-04-05 08:26:44.652137,2018-04-05 08:18:57.784258,173,0,0,20,0
2018-04-04 07:25:06.712858,2018-04-04 06:17:28.398177,3731,3,0.15,20,0
2018-03-28 05:39:09.817700,2018-03-28 04:24:05.675522,3654,12,0.6,20,0
2018-03-27 06:49:59.683143,2018-03-27 06:05:13.582607,2490,4,0.2,20,0
2018-03-26 12:05:50.139817,2018-03-26 10:49:11.646113,4130,1,0.05,20,0
2018-03-26 10:34:26.968926,2018-03-26 08:37:13.902094,6623,15,0.7,20,0
